=+proj=longlat +ellps=GRS80 +no_defs +type=crs,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,image, x (long), y (lat), z (alt), yaw, pitch, roll, h_accuracy, v_accuracy, label,,,,
Flight,File name,Latitude (GDA94) (deg),Longitude (GDA94) (deg),Ellipsoid height (GDA94) (m),,,,,RMS Error Up (m),,,,RMS Error North (m),RMS Error East (m)
2,100_0002_0066.JPG,-38.75431887,143.6709349,99.455,,,,,0.029,,,,0.013,0.011
2,100_0002_0067.JPG,-38.75453122,143.6711409,99.169,,,,,0.034,,,,0.015,0.012
2,100_0002_0068.JPG,-38.75472732,143.6713365,99.357,,,,,0.036,,,,0.016,0.013
2,100_0002_0069.JPG,-38.7547346,143.6713221,99.263,,,,,0.035,,,,0.015,0.013
2,100_0002_0070.JPG,-38.75479829,143.6709608,98.927,,,,,0.031,,,,0.013,0.011
2,100_0002_0071.JPG,-38.75482411,143.6707792,98.696,,,,,0.027,,,,0.012,0.01
2,100_0002_0072.JPG,-38.75458809,143.6705521,98.399,,,,,0.025,,,,0.011,0.008
2,100_0002_0073.JPG,-38.75437582,143.6703465,98.786,,,,,0.021,,,,0.01,0.008
2,100_0002_0074.JPG,-38.75416292,143.6701397,98.908,,,,,0.024,,,,0.011,0.009
2,100_0002_0075.JPG,-38.75394773,143.6699294,99.112,,,,,0.029,,,,0.012,0.011
2,100_0002_0076.JPG,-38.75376079,143.6697459,99.179,,,,,0.036,,,,0.016,0.012
2,100_0002_0077.JPG,-38.75405471,143.6697937,98.757,,,,,0.035,,,,0.015,0.012
2,100_0002_0078.JPG,-38.75431862,143.6698396,98.621,,,,,0.031,,,,0.013,0.011
2,100_0002_0079.JPG,-38.75457036,143.6698867,98.662,,,,,0.025,,,,0.011,0.009
2,100_0002_0080.JPG,-38.75461988,143.6699362,98.572,,,,,0.023,,,,0.012,0.008
2,100_0002_0081.JPG,-38.75480434,143.6701133,98.207,,,,,0.022,,,,0.01,0.008
2,100_0002_0082.JPG,-38.75492448,143.6702242,98.615,,,,,0.022,,,,0.009,0.008
2,100_0002_0083.JPG,-38.75492728,143.6701947,98.465,,,,,0.024,,,,0.01,0.008
2,100_0002_0084.JPG,-38.7547491,143.6704953,98.053,,,,,0.034,,,,0.014,0.012
